"k","alpha","omega","stabilite"
5,0.95,0.25,0.770039014690223
6,0.95,0.25,0.720520321867131
2,1,0.25,0.94903255158749
3,1,0.25,0.764423104705519
4,1,0.25,0.804584938624116
5,1,0.25,0.764496644065242
6,1,0.25,0.707345741160318
2,0,0.3,0.839908846224625
3,0,0.3,0.926088359986654
4,0,0.3,0.87221090599864
5,0,0.3,0.779197510855807
6,0,0.3,0.81127322473404
2,0.05,0.3,0.863231664342533
3,0.05,0.3,0.90798453001758
4,0.05,0.3,0.88492711976393
5,0.05,0.3,0.836160139755126
6,0.05,0.3,0.821463280692955
2,0.1,0.3,0.890536968543108
3,0.1,0.3,0.908866950272471
4,0.1,0.3,0.900445343315555
5,0.1,0.3,0.844882667538544
6,0.1,0.3,0.828511860496469
2,0.15,0.3,0.899723822941309
3,0.15,0.3,0.897573826774632
4,0.15,0.3,0.904134320171069
5,0.15,0.3,0.829118357251082
6,0.15,0.3,0.799150922940223
2,0.2,0.3,0.893319456180662
3,0.2,0.3,0.894114349193999
4,0.2,0.3,0.880940621040893
5,0.2,0.3,0.800704884170154
6,0.2,0.3,0.833667624075146
2,0.25,0.3,0.915614677620771
3,0.25,0.3,0.868879896409574
4,0.25,0.3,0.890683881983839
5,0.25,0.3,0.799822726547578
6,0.25,0.3,0.80426108910496
2,0.3,0.3,0.904932394953198
3,0.3,0.3,0.825849629323695
4,0.3,0.3,0.882603091156027
5,0.3,0.3,0.794414625803199
6,0.3,0.3,0.799879091581235
2,0.35,0.3,0.917631090397164
3,0.35,0.3,0.823539397539072
4,0.35,0.3,0.885527237078062
5,0.35,0.3,0.796346254656701
6,0.35,0.3,0.78772441657588
2,0.4,0.3,0.918464532742932
3,0.4,0.3,0.812600782935129
4,0.4,0.3,0.868538961431598
5,0.4,0.3,0.792299248467507
6,0.4,0.3,0.785334151654693
2,0.45,0.3,0.910133877478967
3,0.45,0.3,0.834095175212899
4,0.45,0.3,0.871113697490247
5,0.45,0.3,0.809932716555865
6,0.45,0.3,0.764355760447517
2,0.5,0.3,0.916513352293662
3,0.5,0.3,0.809824683091846
4,0.5,0.3,0.853922897977613
5,0.5,0.3,0.794407935366044
6,0.5,0.3,0.767840843603559
2,0.55,0.3,0.904857250119486
3,0.55,0.3,0.710909157260243
4,0.55,0.3,0.829629921672396
5,0.55,0.3,0.777219344286341
6,0.55,0.3,0.755399994811478
2,0.6,0.3,0.92224466733233
3,0.6,0.3,0.712409182637247
4,0.6,0.3,0.830907210889699
5,0.6,0.3,0.764495391532853
6,0.6,0.3,0.76567146856893
2,0.65,0.3,0.920406049654464
3,0.65,0.3,0.749317436603097
4,0.65,0.3,0.81718097591055
5,0.65,0.3,0.752794801698005
6,0.65,0.3,0.751161761670495
2,0.7,0.3,0.922321031337384
3,0.7,0.3,0.750462416921996
4,0.7,0.3,0.820312224608676
5,0.7,0.3,0.760698096143014
6,0.7,0.3,0.741396539965736
